"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"21","RT @HelenBranswell: ICYMI: 7 more children have died from #flu in the U.S. this winter. That marks 41 known pediatric flu deaths this year…",FALSE,0,NA,2019-02-23 15:09:33,FALSE,NA,"1099325394061312000",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Greene_Thoughts",8,TRUE,FALSE,NA,NA
"22","3. There has been very little #flu B activity this year. For much of the season, #H1N1 viruses have been the main f… https://t.co/MKfctwHYS9",FALSE,6,"HelenBranswell",2019-02-23 14:45:27,TRUE,"1099319328732778496","1099319331522035714","28838219","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HelenBranswell",1,FALSE,FALSE,NA,NA
"23","2. There is still a fair amount of #flu activity going on. All states, except West Virginia &amp; DC are reporting wide… https://t.co/hlYVIiQqRF",FALSE,3,"HelenBranswell",2019-02-23 14:45:26,TRUE,"1099319326908342272","1099319328732778496","28838219","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HelenBranswell",1,FALSE,FALSE,NA,NA
"24","ICYMI: 7 more children have died from #flu in the U.S. this winter. That marks 41 known pediatric flu deaths this y… https://t.co/mzvkeDlxcs",FALSE,6,NA,2019-02-23 14:45:26,TRUE,NA,"1099319326908342272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HelenBranswell",8,FALSE,FALSE,NA,NA
"25","#Influenza is a serious disease and every #flu season is different. So what can we expect from the current flu seas… https://t.co/WE8krhnQww",FALSE,0,NA,2019-02-23 14:35:05,TRUE,NA,"1099316722039955459",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","LourdesMedAssoc",0,FALSE,FALSE,NA,NA
"26","RT @PAHealthDept: DYK? The #flu virus can live on some surfaces for up to 24 HOURS. Avoid spreading flu germs by regularly clean surfaces,…",FALSE,0,NA,2019-02-23 14:06:14,FALSE,NA,"1099309461959790593",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","nhclv",4,TRUE,FALSE,NA,NA
"27","RT @PAHealthDept: DYK? The #flu virus can live on some surfaces for up to 24 HOURS. Avoid spreading flu germs by regularly clean surfaces,…",FALSE,0,NA,2019-02-23 14:03:31,FALSE,NA,"1099308779244580865",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_steve3_",4,TRUE,FALSE,NA,NA
"28","Treating #flu - what to do and when to seek advice: https://t.co/PVu2OIvnxk https://t.co/9Aa5y5So9V",FALSE,0,NA,2019-02-23 14:00:30,FALSE,NA,"1099308017114406912",NA,"<a href=""http://gainapp.com"" rel=""nofollow"">Gain App</a>","ebpcooh",0,FALSE,FALSE,NA,NA
"29","DYK? The #flu virus can live on some surfaces for up to 24 HOURS. Avoid spreading flu germs by regularly clean surf… https://t.co/1aVGxAl5OL",FALSE,2,NA,2019-02-23 14:00:01,TRUE,NA,"1099307896368779264",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","PAHealthDept",4,FALSE,FALSE,NA,NA
"30","It's cold and #flu season! Are you getting your daily dose of Vitamin C? 
https://t.co/UjdFqOt4qR",FALSE,1,NA,2019-02-23 13:31:02,FALSE,NA,"1099300602071388161",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","OscilloUSA",2,FALSE,FALSE,NA,NA
