"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"19","RT @sammyapproves: #AD Cold supplies that work? Yes please!! 
Get a great deal here&gt;&gt; https://t.co/xuI3pV5x5O  

#Flu #dealoftheday #dealso…",FALSE,0,NA,2019-02-21 17:44:13,FALSE,NA,"1098639544554061824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GiveawayBandit",113,TRUE,FALSE,NA,NA
"20","RT @CMAdocs: Overall, this season’s #flu is significantly less harsh than last year’s, largely because of the effectiveness of this year’s…",FALSE,0,NA,2019-02-21 16:24:44,FALSE,NA,"1098619539799961600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tmazermd",6,TRUE,FALSE,NA,NA
"21","@DrFrieden Hospitals administer #Flu &amp; Pneumococcal vaccinations routinely
Emergency departments administer Tetanus… https://t.co/vg57z7S4NF",FALSE,0,"DrFrieden",2019-02-21 16:15:07,TRUE,"1098222584271982592","1098617119191719941","820452522494226433","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dr_tef",0,FALSE,FALSE,NA,NA
"22","RT @KPbewelldoc: ☀️""Doc, isn't it too late in the season to get a #flu shot?""
The #Influenza season can extend through May and beyond, the…",FALSE,0,NA,2019-02-21 13:08:55,FALSE,NA,"1098570260058382339",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AndreABE01",24,TRUE,FALSE,NA,NA
"23","RT @CMAdocs: Overall, this season’s #flu is significantly less harsh than last year’s, largely because of the effectiveness of this year’s…",FALSE,0,NA,2019-02-21 07:40:31,FALSE,NA,"1098487615605501953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dbazzomd",6,TRUE,FALSE,NA,NA
"24","RT @CMAdocs: Overall, this season’s #flu is significantly less harsh than last year’s, largely because of the effectiveness of this year’s…",FALSE,0,NA,2019-02-21 05:33:19,FALSE,NA,"1098455607403663360",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MichaelNeeki",6,TRUE,FALSE,NA,NA
"25","RT @KPbewelldoc: ☀️""Doc, isn't it too late in the season to get a #flu shot?""
The #Influenza season can extend through May and beyond, the…",FALSE,0,NA,2019-02-21 05:28:20,FALSE,NA,"1098454353793433600",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Lesleygsmith3",24,TRUE,FALSE,NA,NA
"26","15 Simple Habits Doctors Swear by to Avoid Colds and the Flu #health #WellnessWednesday #flu  https://t.co/V9SSw8EC5r",FALSE,0,NA,2019-02-21 05:27:16,FALSE,NA,"1098454083050958849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VURVhealth",0,FALSE,FALSE,NA,NA
"27","RT @KPbewelldoc: ☀️""Doc, isn't it too late in the season to get a #flu shot?""
The #Influenza season can extend through May and beyond, the…",FALSE,0,NA,2019-02-21 05:10:00,FALSE,NA,"1098449737018073088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PieriniCeleste",24,TRUE,FALSE,NA,NA
"28","RT @KPbewelldoc: ☀️""Doc, isn't it too late in the season to get a #flu shot?""
The #Influenza season can extend through May and beyond, the…",FALSE,0,NA,2019-02-21 04:52:54,FALSE,NA,"1098445435792998400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cwgrody",24,TRUE,FALSE,NA,NA
"29","RT @KPbewelldoc: ☀️""Doc, isn't it too late in the season to get a #flu shot?""
The #Influenza season can extend through May and beyond, the…",FALSE,0,NA,2019-02-21 04:49:15,FALSE,NA,"1098444516347002880",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","donalynette",24,TRUE,FALSE,NA,NA
"30","Customer Favorites!!! 
#CBD from @adhconsultants

#hempoil #vegan #Pesticidefree #nongmo #fairtrade #fullspectrum… https://t.co/eiKyCCoU51",FALSE,4,NA,2019-02-21 03:02:59,TRUE,NA,"1098417773833797632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BijouOrganics88",0,FALSE,FALSE,NA,NA
"31","RT @KPbewelldoc: ☀️#Influenza is here!
📍Stay home if #fever in the last 24 hrs.
📍Feel better tips and what to do when:
     https://t.co/kg…",FALSE,0,NA,2019-02-21 01:16:08,FALSE,NA,"1098390885580984320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DawnRoseTurner",63,TRUE,FALSE,NA,NA
"32","#NEWS: Reports find the #flu #vaccine is 47 percent effective in preventing illnesses this year https://t.co/GZkEYsDuCl",FALSE,0,NA,2019-02-21 01:00:45,FALSE,NA,"1098387013709979648",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","mOppenheimTV",0,FALSE,FALSE,NA,NA
"33","Do your part to help stop the spread of the #flu. Thanks to @sacbee_news for highlighting #Kinsa's California data. https://t.co/rDMvFsHUjz",FALSE,0,NA,2019-02-20 23:07:00,FALSE,NA,"1098358385408380928",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","kinsa",0,FALSE,FALSE,NA,NA
"34","RT @CMAdocs: Overall, this season’s #flu is significantly less harsh than last year’s, largely because of the effectiveness of this year’s…",FALSE,0,NA,2019-02-20 22:13:41,FALSE,NA,"1098344967599120384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hollyby",6,TRUE,FALSE,NA,NA
