"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"355","What 2 sick Johns look like.  #influenza #realflu #notmanflu @ Nassau Shores Civic Associate https://t.co/JnLuRwQa1s",FALSE,0,NA,2019-02-23 02:35:51,FALSE,NA,"1099135722848702466",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","JWJRecruiter",0,FALSE,FALSE,"-73.4305475","40.6522137"
"553","So Type A flu it is. #xofluza #influenza @ Hampstead, North Carolina https://t.co/L236SETZ85",FALSE,0,NA,2019-02-22 16:33:27,FALSE,NA,"1098984122939109376",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BrodyWelte",0,FALSE,FALSE,"-77.7108","34.3675"
"1417","Forever there for eachother.....No matter what😍 PLEASE, send some healing prayers our way! we are eager to get back… https://t.co/qYKlpE9IGN",FALSE,1,NA,2019-02-20 20:08:27,TRUE,NA,"1098313451808550919",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","InspiredMoment3",0,FALSE,FALSE,"-95.92136901","36.06780017"
"2988","Salgono a 431 i casi gravi di influenza segnalati da ottobre 2018 a oggi, tra cui 7 donne in gravidanza e 78 decedu… https://t.co/PxtQ8JaJ02",FALSE,3,NA,2019-02-17 13:00:12,TRUE,NA,"1097118516384333825",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","AlfVann",1,FALSE,FALSE,"11.12624275","43.98157978"
